SN,Ticker,High,Low,Close
3631,TMTSU,10.260000228881836,10.239999771118164,10.239999771118164
3632,TMTSW,0.73089998960495,0.6899999976158142,0.7300000190734863
3633,TMUS,144.77000427246094,142.5,144.50999450683594
3634,TNDM,87.46399688720703,86.05000305175781,86.05000305175781
3635,TNXP,1.3700000047683716,1.2300000190734863,1.309999942779541
3636,TOMZ,2.7899999618530273,2.680000066757202,2.7200000286102295
3637,TOPS,1.6699999570846558,1.600000023841858,1.6299999952316284
3638,TOUR,2.8299999237060547,2.6600000858306885,2.819999933242798
3639,TOWN,32.290000915527344,31.889999389648438,32.2400016784668
3640,TPIC,45.69499969482422,44.06999969482422,44.20000076293945
3641,TPTX,65.51000213623047,64.12999725341797,64.86000061035156
3642,TRCH,2.819999933242798,2.630000114440918,2.799999952316284
3643,TREE,203.7100067138672,198.64999389648438,199.02999877929688
3644,TRHC,44.77000045776367,42.45000076293945,42.560001373291016
3645,TRIB,3.430000066757202,3.2699999809265137,3.3499999046325684
3646,TRIL,8.34000015258789,8.130000114440918,8.130000114440918
3647,TRIN,14.84000015258789,14.600000381469727,14.609999656677246
3648,TRIP,42.43000030517578,40.88999938964844,41.2599983215332
3649,TRIT,6.519999980926514,6.360000133514404,6.480000019073486
3650,TRITW,1.2699999809265137,1.159999966621399,1.2200000286102295
3651,TRMB,80.06999969482422,78.05999755859375,79.81999969482422
3652,TRMD,9.15999984741211,9.02400016784668,9.074999809265137
3653,TRMK,33.7599983215332,33.16999816894531,33.470001220703125
3654,TRMT,6.070000171661377,6.0,6.019999980926514
3655,TRNS,56.08000183105469,54.130001068115234,55.900001525878906
3656,TROW,194.6699981689453,191.25,194.47000122070312
3657,TRS,32.790000915527344,32.29999923706055,32.5099983215332
3658,TRST,37.560001373291016,36.380001068115234,36.75
3659,TRUE,5.78000020980835,5.619999885559082,5.650000095367432
3660,TRUP,87.86499786376953,85.94400024414062,87.80000305175781
3661,TRVG,3.859999895095825,3.6500000953674316,3.6600000858306885
3662,TRVI,2.25,2.0999999046325684,2.1070001125335693
3663,TRVN,1.840000033378601,1.7899999618530273,1.7999999523162842
3664,TSBK,29.149999618530273,28.75,28.969999313354492
3665,TSC,23.34000015258789,22.56999969482422,23.06999969482422
3666,TSCAP,26.437999725341797,26.437999725341797,26.437999725341797
